ticker,date1,volume
BTC,2022-03-19,112597
BTC,2022-03-18,126073
BTC,2022-03-17,121797
BTC,2022-03-16,160354
BTC,2022-03-15,142146
BTC,2022-03-14,154794
BTC,2022-03-13,112695
BTC,2022-03-12,118942
BTC,2022-03-11,134097
BTC,2022-03-10,137143
BTC,2022-03-09,147233
BTC,2022-03-08,124779
BTC,2022-03-07,126188
BTC,2022-03-06,114054
BTC,2022-03-05,111329
BTC,2022-03-04,128979
BTC,2022-03-03,132029
BTC,2022-03-02,146399
BTC,2022-03-01,162554
BTC,2022-02-28,137077
BTC,2022-02-27,124935
BTC,2022-02-26,148522
BTC,2022-02-25,140520
BTC,2022-02-24,142173
BTC,2022-02-23,137184
BTC,2022-02-22,143568
BTC,2022-02-21,137767
BTC,2022-02-20,140524
BTC,2022-02-19,121404
BTC,2022-02-18,152302
BTC,2022-02-17,147518
BTC,2022-02-16,125407
BTC,2022-02-15,156388
BTC,2022-02-14,124960
BTC,2022-02-13,122995
BTC,2022-02-12,134078
BTC,2022-02-11,137927
BTC,2022-02-10,156238
BTC,2022-02-09,161684
BTC,2022-02-08,170856
BTC,2022-02-07,167659
BTC,2022-02-06,142639
BTC,2022-02-05,145496
BTC,2022-02-04,164810
BTC,2022-02-03,152227
BTC,2022-02-02,141247
BTC,2022-02-01,155304
BTC,2022-01-31,133384
BTC,2022-01-30,113230
BTC,2022-01-29,121267
